person,elements_key,elements_year,elements_city,elements_language_first,elements_format,elements_books,elements_claim_flags,elements_social_flags,non_elements_key,non_elements_year,non_elements_city,non_elements_language_first,non_elements_format,non_elements_subject_family,non_elements_claim_flags,non_elements_social_flags,year_gap,same_city,same_language_first,same_format
Jacques Ozanam,Paris_1697,1697,Paris,FRENCH,8,"1–6, 11–12",claim_correction_revision_accuracy; claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-80,1691,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement,claim_utility_practice_application; claim_augmentation_enrichment_composition,professional_practical_arena,6,1,1,0
Jan Pietersz Dou,Leiden_1606,1606,Leiden,DUTCH,4,1-6,claim_method_demonstration_order; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,bib-209,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement,,no_visible_social_arena,6,1,1,0
Jan Pietersz Dou,Leiden_1606,1606,Leiden,DUTCH,4,1-6,claim_method_demonstration_order; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,no_visible_social_arena,bib-210,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,6,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-9,1638,Paris,FRENCH,,Applied Mechanics/Military,claim_translation_vernacularization_transfer,no_visible_social_arena,6,1,0,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,E4JQEB,1570,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_augmentation_enrichment_composition,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6,1,1,1
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,bib-10,1570,Paris,FRENCH,4,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_visual_material_aids,court_state_service_arena; patronage_prestige_arena,6,1,1,1
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,6,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,LQNZBJ,1572,Paris,FRENCH,4,Cosmos/Earth,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,LQNZBJ,1572,Paris,FRENCH,4,Cosmos/Earth,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6,1,1,0
Pierre de la Ramée,Paris_1549,1549,Paris,LATIN,8,,claim_ancient_authority_restoration,no_visible_social_arena,bib-177,1543,Paris,LATIN,,No primary family,,no_visible_social_arena,6,1,1,0
[No named author/editor],Paris_1626b,1626,Paris,LATIN,6,,claim_ancient_authority_restoration,no_visible_social_arena,ustc-27,1632,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,6,1,0,0
[No named author/editor],Paris_1626b,1626,Paris,LATIN,6,,claim_ancient_authority_restoration,no_visible_social_arena,ustc-52,1632,Paris,FRENCH,,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,6,1,0,0
Albrecht Dürer,JTZKPV,1532,Paris,LATIN,2,,claim_translation_vernacularization_transfer,no_visible_social_arena,bib-8,1525,Nuremberg,GERMAN,,Geometry/Theory,claim_visual_material_aids,no_visible_social_arena,7,0,0,0
Bernard Lamy,Paris_1685,1685,Paris,FRENCH,8,1-5,claim_method_demonstration_order; claim_ancient_authority_restoration,no_visible_social_arena,bib-110,1692,Paris,FRENCH,,Geometry/Theory,claim_method_demonstration_order; claim_ancient_authority_restoration,no_visible_social_arena,7,1,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,MorisS-16-11,1630,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,learned_scholarly_arena,7,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,7,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-7,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,7,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,ustc-60,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,7,1,1,0
Jacques Ozanam,Paris_1693,1693,Paris,FRENCH,8,"1–6, 11–12",claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-58,1700,Paris,FRENCH,,Geometry/Theory | Instruments/Measurement,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,no_visible_social_arena,7,1,1,0
Jan Pietersz Dou,Leiden_1607,1607,Leiden,DUTCH,4,1–6,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_ancient_authority_restoration; claim_visual_material_aids; claim_selection_extraction_abridgment,pedagogical_school_arena; professional_practical_arena; general_public_lovers_arena,bib-209,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement,,no_visible_social_arena,7,1,1,0
Jan Pietersz Dou,Leiden_1607,1607,Leiden,DUTCH,4,1–6,claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_ancient_authority_restoration; claim_visual_material_aids; claim_selection_extraction_abridgment,pedagogical_school_arena; professional_practical_arena; general_public_lovers_arena,bib-210,1600,Leiden,DUTCH,,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,,no_visible_social_arena,7,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-13,1651,Paris,FRENCH,,No primary family,,no_visible_social_arena,7,1,0,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0CKY65,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,7,1,1,1
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6AMYTJ,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_selection_extraction_abridgment,no_visible_social_arena,7,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,LQNZBJ,1572,Paris,FRENCH,4,Cosmos/Earth,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,7,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,7,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,5J1UUA,1573,Paris,FRENCH,4,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,court_state_service_arena,7,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,5J1UUA,1573,Paris,FRENCH,4,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,court_state_service_arena,7,1,1,0
Pietro Antonio Cataldi,8DP4C1,1613,Bologna,ITALIAN,,1-6,claim_ancient_authority_restoration,no_visible_social_arena,Bologna_1620,1620,Bologna,ITALIAN,,Geometry/Theory,claim_ancient_authority_restoration,no_visible_social_arena,7,1,1,0
Christopher Clavius,Rome_1589,1589,Rome,LATIN,8,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,ZGOHUR,1581,Rome,LATIN,,Instruments/Measurement,claim_method_demonstration_order; claim_augmentation_enrichment_composition,religious_institutional_arena,8,1,1,0
Claude-François Milliet Dechales,London_1685a,1685,London,ENGLISH,12,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,8,0,0,0
Claude-François Milliet Dechales,Oxford_1685,1685,Oxford,ENGLISH,4,"1–6, 11–12",claim_method_demonstration_order; claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_ancient_authority_restoration,religious_institutional_arena,bib-54,1677,Paris,FRENCH,,Visual/Spatial Arts | Applied Mechanics/Military,claim_augmentation_enrichment_composition; claim_visual_material_aids,religious_institutional_arena,8,0,0,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,8,1,1,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,MorisS-16-7,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,8,1,1,0
Denis Henrion,Paris_1615,1615,Paris,FRENCH,8,1-15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,ustc-60,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,8,1,1,0
Jean Errard,Paris_1629,1629,Paris,FRENCH,4,1–9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-39,1621,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,8,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-7,1636,Paris,LATIN,,Music,,no_visible_social_arena,8,1,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-8,1636,Paris,FRENCH,,Music,claim_method_demonstration_order,no_visible_social_arena,8,1,0,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,bib-55,1652,Paris,FRENCH,,Visual/Spatial Arts,claim_utility_practice_application,professional_practical_arena,8,1,0,0
Oronce Finé,Paris_1536,1536,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,bib-9,1544,Strasbourg,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_utility_practice_application; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,8,0,1,0
Oronce Finé,Paris_1544,1544,Paris,LATIN,2,1-6,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,learned_scholarly_arena,bib-169,1552,Paris,FRENCH,,Cosmos/Earth,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,8,1,0,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,E7J0Y4,1556,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order,no_visible_social_arena,8,1,1,1
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,LQNZBJ,1572,Paris,FRENCH,4,Cosmos/Earth,,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,8,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0CKY65,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,8,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,5J1UUA,1573,Paris,FRENCH,4,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,court_state_service_arena,8,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6AMYTJ,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_selection_extraction_abridgment,no_visible_social_arena,8,1,1,1
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,8,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,bib-263,1558,Paris,FRENCH,,Arithmetic/Commerce,,no_visible_social_arena,8,1,1,0
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,0NKS71,1568,Paris,FRENCH,8,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena; patronage_prestige_arena,8,1,1,0
Pierre Hérigone,Paris_1634,1634,Paris,FRENCH,8,1-15,claim_method_demonstration_order; claim_augmentation_enrichment_composition,learned_scholarly_arena,MorisS-17-3,1642,Paris,LATIN,,Geometry/Theory,claim_method_demonstration_order; claim_augmentation_enrichment_composition; claim_visual_material_aids,no_visible_social_arena,8,1,0,0
[No named author/editor],Paris_1626b,1626,Paris,LATIN,6,,claim_ancient_authority_restoration,no_visible_social_arena,ustc-56,1618,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,claim_augmentation_enrichment_composition,no_visible_social_arena,8,1,0,0
Christopher Clavius,Rome_1603,1603,Rome,LATIN,8,1–16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,TDJC06,1612,Mainz,LATIN,,No primary family,,no_visible_social_arena,9,0,1,0
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,MorisS-16-1,1623,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_method_demonstration_order; claim_utility_practice_application; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,9,1,1,0
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,MorisS-16-7,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,9,1,1,0
Denis Henrion,Paris_1632,1632,Paris,FRENCH,4,1-15,claim_accessibility_clarity_pedagogy; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_visual_material_aids,no_visible_social_arena,ustc-60,1623,Paris,FRENCH,,Geometry/Theory,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,9,1,1,0
Jacques Ozanam,Paris_1693,1693,Paris,FRENCH,8,"1–6, 11–12",claim_ancient_authority_restoration,military_fortification_arena; general_public_lovers_arena,bib-57,1684,Paris,FRENCH,,Geometry/Theory,claim_selection_extraction_abridgment,no_visible_social_arena,9,1,1,0
Jean Errard,Paris_1629,1629,Paris,FRENCH,4,1–9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,MorisS-16-6,1620,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,9,1,1,0
Niccolò Tartaglia,Venice_1565,1565,Venice,LATIN,8,1-15,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,bib-23,1556,Venice,ITALIAN,,Arithmetic/Commerce,claim_utility_practice_application,no_visible_social_arena,9,1,0,0
Niccolò Tartaglia,Venice_1569,1569,Venice,LATIN,8,1-15,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; learned_scholarly_arena,ustc-32,1578,Paris,FRENCH,,Arithmetic/Commerce,claim_translation_vernacularization_transfer,court_state_service_arena; patronage_prestige_arena,9,0,0,0
Pierre Forcadel,Paris_1564,1564,Paris,FRENCH,4,1-6,claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,5J1UUA,1573,Paris,FRENCH,4,Arithmetic/Commerce,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,court_state_service_arena,9,1,1,1
Pierre Forcadel,Paris_1565,1565,Paris,FRENCH,4,7-9,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,E7J0Y4,1556,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order,no_visible_social_arena,9,1,1,1
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,0CKY65,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,9,1,1,0
Pierre Forcadel,Paris_1566a,1566,Paris,FRENCH,8,,claim_ancient_authority_restoration; claim_selection_extraction_abridgment,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,6AMYTJ,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_selection_extraction_abridgment,no_visible_social_arena,9,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,0CKY65,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_accessibility_clarity_pedagogy; claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_selection_extraction_abridgment,no_visible_social_arena,9,1,1,0
Pierre Forcadel,Paris_1566b,1566,Paris,FRENCH,8,,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,no_visible_social_arena,6AMYTJ,1557,Paris,FRENCH,4,Arithmetic/Commerce,claim_method_demonstration_order; claim_selection_extraction_abridgment,no_visible_social_arena,9,1,1,0
Pierre Forcadel,ZNLALU,1560,Paris,FRENCH,4,,claim_translation_vernacularization_transfer,no_visible_social_arena,YBCWZV,1569,Paris,FRENCH,4,Instruments/Measurement,claim_method_demonstration_order,pedagogical_school_arena; court_state_service_arena; learned_scholarly_arena; general_public_lovers_arena,9,1,1,1
[No named author/editor],s.l_1650,1650,,LATIN,8,1-6,,no_visible_social_arena,ustc-20,1641,Paris,FRENCH,,No primary family,claim_accessibility_clarity_pedagogy,no_visible_social_arena,9,0,0,0
Bernard Lamy,Paris_1685,1685,Paris,FRENCH,8,1-5,claim_method_demonstration_order; claim_ancient_authority_restoration,no_visible_social_arena,Paris_1695,1695,Paris,FRENCH,12,Geometry/Theory,claim_method_demonstration_order; claim_ancient_authority_restoration,no_visible_social_arena,10,1,1,0
Christopher Clavius,Cologne_1591,1591,Cologne,LATIN,4,1-16,claim_method_demonstration_order; claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_visual_material_aids,religious_institutional_arena,ZGOHUR,1581,Rome,LATIN,,Instruments/Measurement,claim_method_demonstration_order; claim_augmentation_enrichment_composition,religious_institutional_arena,10,0,1,0
Denis Henrion,Paris_1623,1623,Paris,FRENCH,8,1–15,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_ancient_authority_restoration,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,ustc-18,1613,Paris,FRENCH,,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Applied Mechanics/Military,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_visual_material_aids,learned_scholarly_arena; patronage_prestige_arena,10,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-5,1620,Paris,FRENCH,,Cosmos/Earth,,no_visible_social_arena,10,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,MorisS-16-6,1620,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,10,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,ustc-55,1620,Paris,FRENCH,,Instruments/Measurement | Cosmos/Earth,claim_augmentation_enrichment_composition,no_visible_social_arena,10,1,1,0
Denis Henrion,Paris_1630,1630,Paris,FRENCH,8,1–6,claim_translation_vernacularization_transfer; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,learned_scholarly_arena,ustc-58,1620,Paris,FRENCH,,Geometry/Theory,,no_visible_social_arena,10,1,1,0
Honoré Fabri,Lyon_1669,1669,Lyon,LATIN,12,,,religious_institutional_arena,MorisS-10-3,1659,Rome,LATIN,,Geometry/Theory,,no_visible_social_arena,10,0,1,0
Jean Errard,Paris_1629,1629,Paris,FRENCH,4,1–9,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration; claim_selection_extraction_abridgment,court_state_service_arena; professional_practical_arena,ustc-57,1619,Paris,FRENCH,,Geometry/Theory,claim_correction_revision_accuracy; claim_augmentation_enrichment_composition,court_state_service_arena; professional_practical_arena; patronage_prestige_arena,10,1,1,0
Lucas Brunn,Nuremberg_1625,1625,Nuremberg,GERMAN,4,1-15,claim_utility_practice_application; claim_augmentation_enrichment_composition; claim_ancient_authority_restoration,learned_scholarly_arena,Z26G13,1615,"Nuremberg, Leipzig",GERMAN,2,Visual/Spatial Arts,,no_visible_social_arena,10,0,1,0
Marin Mersenne,Paris_1644c,1644,Paris,LATIN,4,1–18 (enunciations),,no_visible_social_arena,MorisS-21-4,1634,Paris,FRENCH,,Applied Mechanics/Military,,no_visible_social_arena,10,1,0,0
