review_id,Page/Key,language,year,city,Classification,Orig_Value,llm_Value_1,llm_Value_3,llm_Value_4,llm_Value_6,llm_consensus,llm_consensus_count,suggested_final_value,decision_status,decision_reason,review_priority,review_question,your_final_value,your_error_type,your_notes_for_v6
104,bib-253,LATIN,1583,Lyon,Geography,secondary,unrelated,unrelated,unknown,unknown,unrelated,1,secondary,review_manual_positive,manual positive but no LLM confirms,85,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
105,bib-253,LATIN,1583,Lyon,Navigation,secondary,unrelated,unrelated,unknown,unknown,unrelated,1,secondary,review_manual_positive,manual positive but no LLM confirms,85,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
106,bib-255,LATIN,1574,Cologne,Navigation,primary,unknown,unrelated,unknown,unrelated,unrelated,1,primary,review_manual_positive,manual positive but no LLM confirms,85,"Is the manual positive label truly supported by the metadata? If yes, what clue should V6 notice?",,,
107,0NKS71,FRENCH,1568,Paris,Trigonometry,unrelated,unknown,unrelated,unrelated,secondary,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,53,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
108,bib-59,LATIN,1594,Leiden,Trigonometry,unrelated,unknown,unknown,unknown,secondary,unknown,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,53,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
109,ustc-29,FRENCH,1602,Paris,Trigonometry,unrelated,unknown,unknown,unknown,secondary,unknown,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,53,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
110,2I9HSY,FRENCH,1560,Paris,Trigonometry,unrelated,secondary,unknown,unrelated,unknown,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,50,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
111,612FNN,ITALIAN,1583,Rome,Trigonometry,unrelated,secondary,unknown,unknown,unknown,unknown,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,50,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
112,B9OW5O,GERMAN,1583,Vienna,Trigonometry,unrelated,secondary,unknown,unrelated,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,50,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
113,LQNZBJ,FRENCH,1572,Paris,Architecture,unrelated,unrelated,unknown,unknown,secondary,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,43,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
114,bib-42,LATIN,1570,Pesaro,Arithmetic,unrelated,unrelated,unknown,unrelated,secondary,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,43,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
115,GGD02E,ITALIAN,1596,Venice,Architecture,unrelated,secondary,unknown,unrelated,unknown,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
116,JZ3MT9,LATIN,1593,Antwerp,Architecture,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
117,6X6R6Y,GERMAN,1547,Nuremberg,Arithmetic,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
118,Strasbourg_1529,LATIN,1529,Strasbourg,Arithmetic,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
119,X2T7PY,LATIN,1586,Rome,Arithmetic,unrelated,unrelated,secondary,unknown,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
120,Strasbourg_1529,LATIN,1529,Strasbourg,Astronomy,unrelated,unrelated,unrelated,secondary,unknown,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
121,X2T7PY,LATIN,1586,Rome,Astronomy,unrelated,unrelated,secondary,unknown,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
122,bib-259,LATIN,1591,Tours,Astronomy,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
123,bib-71,LATIN,1567,Venice,Astronomy,unrelated,unknown,secondary,unrelated,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
124,bib-152,ITALIAN,1583,Venice,Cartography,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
125,bib-18,SPANISH,1568,Salamanca,Cartography,unrelated,unknown,secondary,unrelated,unknown,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
126,bib-52,LATIN,1592,Venice,Cartography,unrelated,secondary,unrelated,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
127,VWMZ7L,LATIN,1557,Paris,Cosmography,unrelated,unknown,secondary,unrelated,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
128,bib-18,SPANISH,1568,Salamanca,Cosmography,unrelated,unknown,secondary,unknown,unknown,unknown,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
129,bib-131,ENGLISH,1574,London,Geography,unrelated,unrelated,unrelated,secondary,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
130,bib-152,ITALIAN,1583,Venice,Geography,unrelated,unrelated,secondary,unrelated,unrelated,unrelated,3,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
131,bib-209,DUTCH,1600,Leiden,Geography,unrelated,unknown,unrelated,secondary,unrelated,secondary,1,unrelated,single_llm_related_manual_unrelated,manual unrelated but one LLM says related,40,Is this a useful weak signal or a false positive pattern V6 should suppress?,,,
132,bib-47,FRENCH,1561,Paris,Geography,,primary,secondary,primary,secondary,primary,1,primary,blank_no_majority,blank manual value; no LLM majority,38,Which final value is defensible from the metadata?,,,
133,bib-8,GERMAN,1525,Nuremberg,Perspective,,unknown,secondary,primary,secondary,primary,1,primary,blank_no_majority,blank manual value; no LLM majority,38,Which final value is defensible from the metadata?,,,
134,XHZ2XV,LATIN,1592,Tournon,Cosmography,,secondary,secondary,unrelated,unknown,secondary,1,secondary,blank_no_majority,blank manual value; no LLM majority,35,Which final value is defensible from the metadata?,,,
135,bib-8,GERMAN,1525,Nuremberg,Surveying,,unrelated,secondary,secondary,unrelated,secondary,1,secondary,blank_no_majority,blank manual value; no LLM majority,35,Which final value is defensible from the metadata?,,,
136,bib-131,ENGLISH,1574,London,Cartography,unrelated,unrelated,unrelated,primary,primary,primary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,primary,,
137,bib-169,FRENCH,1552,Paris,Cartography,unrelated,unknown,unknown,primary,secondary,primary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,secondary,,
138,bib-41,LATIN,1558,Venice,Cartography,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,unrelated,,
139,bib-45,ITALIAN,1587,Venice,Cartography,unrelated,unknown,secondary,unrelated,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,unrelated,,
140,bib-29,FRENCH,1582,Paris,Commercial Mathematics,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,unrelated,,
141,bib-87,ITALIAN,1584,Brescia,Commercial Mathematics,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,unrelated,,
142,bib-251,LATIN,1560,Cologne,Cosmography,unrelated,unrelated,secondary,unrelated,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
143,bib-41,LATIN,1558,Venice,Cosmography,unrelated,unknown,secondary,unknown,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
144,bib-153,ENGLISH,1579,London,Mechanics,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
145,bib-83,LATIN,1559,Lyon,Military Engineering,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
146,ustc-29,FRENCH,1602,Paris,Military Engineering,unrelated,unrelated,unrelated,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
147,ustc-29,FRENCH,1602,Paris,Surveying,unrelated,unknown,unknown,secondary,secondary,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,3,Is the split related signal a manual miss or lingering over-classification?,,,
148,bib-147,ITALIAN,1557,Venice,Cartography,unrelated,secondary,secondary,unrelated,unknown,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
149,LQNZBJ,FRENCH,1572,Paris,Cosmography,unrelated,unknown,primary,primary,unknown,primary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
150,bib-210,DUTCH,1600,Leiden,Cosmography,unrelated,unrelated,secondary,secondary,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
151,bib-25,FRENCH,1577,Bordeaux,Geography,unrelated,secondary,unrelated,secondary,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
152,bib-82,LATIN,1554,Lyon,Geography,unrelated,secondary,secondary,unrelated,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
153,X2T7PY,LATIN,1586,Rome,Mechanics,unrelated,secondary,secondary,unknown,unknown,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
154,bib-45,ITALIAN,1587,Venice,Mechanics,unrelated,unrelated,secondary,secondary,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
155,bib-91,ITALIAN,1563,Venice,Mechanics,unrelated,secondary,secondary,unrelated,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
156,bib-44,FRENCH,1567,Paris,Perspective,unrelated,unrelated,secondary,secondary,unknown,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
157,bib-280,FRENCH,1600,Paris,Surveying,unrelated,secondary,unrelated,secondary,unknown,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
158,bib-42,LATIN,1570,Pesaro,Surveying,unrelated,secondary,secondary,unrelated,unknown,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
159,bib-64,LATIN,1579,Paris,Surveying,unrelated,unknown,secondary,secondary,unrelated,secondary,1,unrelated,split_llm_related_manual_unrelated,manual unrelated but multiple LLMs say related without a majority,0,Is the split related signal a manual miss or lingering over-classification?,,,
