review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes
R0114,Amsterdam_1662,DUTCH,Enriched With,"korte verk-laringen eeniger Propositien, met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","Met korte verk-laringen eeniger Propositien, een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren","een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien","een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0122,Amsterdam_1662,DUTCH,Verbs,"Overgeset, vergroot, verrijckt, Vertaelt","Overgeset, vergroot, verrijckt","Overgeset, Vertaelt, vergroot, verrijckt","Overgeset, vergroot, verrijckt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0124,Amsterdam_1683,LATIN,Adapter Description,SOC. JESU Sacerdote & Matheseos Professore.,SOC. JESU Sacerdote & Matheseos Professore,"SOC, JESU Sacerdote, Matheseos Professore",SOC. JESU Sacerdote & Matheseos Professore,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0141,Amsterdam_1695,DUTCH,Adapter Description,"Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz. tot Amsterdam.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0167,Amsterdam_1697,FRENCH,Intended Audience,"un homme de Guerre, & à tous ceux qui se veulent perfectionner dans cette Science","à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.","un homme de Guerre, tous
ceux qui se veulent perfectionner dans cette
Science","à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0176,Amsterdam_1700,FRENCH,Edition Statement,Reveuë & corrigée,"NOUVELLE EDITION, Reveuë & corrigée.","NOUVELLE EDITION, Reveuë & corrigée","NOUVELLE EDITION, Reveuë & corrigée",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0198,Amsterdam_1700b,DUTCH,Intended Audience,tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste.,van alle leer-gierige Liefhebbers der selver vrye Konste,alle leer-gierige Liefhebbers der selver vrye Konste,van alle leer-gierige Liefhebbers der selver vrye Konste,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0201,Amsterdam_1700b,DUTCH,Verbs,"Over-geset, verklaert, ende uyt-geleyt","Over-geset, verklaart, uyt-geleyt, verbeteret","Over-geset, uyt-geleyt, oversien, verbetert, vermeerdert","Over-geset, verklaart, uyt-geleyt, verbeteret",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,
R0206,Ansbach_1610,"GERMAN, LATIN",Date in Imprint,M. D C X.,"Im Jahr Christi, M. D C X.",M. D C X,"Im Jahr Christi, M. D C X.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,
R0249,Antwerp_1654,LATIN,Date in Imprint,M. DC. LIV.,"ANNO
M. DC. LIV.",M. DC. LIV,"ANNO
M. DC. LIV.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,
R0250,Antwerp_1654,LATIN,Elements Designation,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ.,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0264,Antwerp_1672,LATIN,Date in Imprint,M. DC. LXXII.,"ANNO
M. DC. LXXII.",M. DC. LXXII,"ANNO
M. DC. LXXII.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,
R0281,Arnhem_1603,LATIN,Elements Designation,"prioribus sex
Elementorum libris",Elementorum libris,Elementorum,Elementorum libris,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0293,Arnhem_1605,LATIN,Elements Designation,"Septimo, Octavo & Nono Elementorum libris
comprehenſam",Elementorum libris,"Septimo, Octavo & Nono Elementorum libris",Elementorum libris,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0297,Arnhem_1605,LATIN,Publisher in Imprint,IOHANNEM IAN-SONIVM,Apud IOHANNEM IANSONIVM.,IOHANNEM IANSONIVM,IOHANNEM IANSONIVM,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,
R0324,Augsburg_1555,GERMAN,Euclid Description,hochberümbten Mathematici,hochberümbten Mathematici Euclidis Megarensis,"hochberümbten Mathematici, Megarensis","hochberümbten Mathematici, Megarensis",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,
R0013,Alcala_1637,"DUTCH, LATIN",Patronage Dedication,AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG &.,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,
R0026,Amsterdam_1616,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste, de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,
R0034,Amsterdam_1618,GERMAN,Adapter Description,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg.,,Dou,Dou,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,
R0127,Amsterdam_1683,LATIN,Bound With,selecta EX ARCHIMEDE THEOREMATA,EX ARCHIMEDE THEOREMATA,,EX ARCHIMEDE THEOREMATA,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,
R0145,Amsterdam_1695,DUTCH,Bound With,16 Boek Fr. Flussatis Candallæ,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,
R0195,Amsterdam_1700b,DUTCH,Enriched With,"eenige nuttigheden, de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste, de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert","Specien in Geometrische figuren, nuttigheden",,"Specien in Geometrische figuren, nuttigheden",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,
R0212,Ansbach_1610,"GERMAN, LATIN",Institutions,Fürstlichen Brandenb,,Mathematicum,Mathematicum,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,
R0213,Ansbach_1610,"GERMAN, LATIN",Intended Audience,"Alles zu sondern Nutzden jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben:","Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",,"Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,
R0214,Ansbach_1610,"GERMAN, LATIN",Patronage Dedication,"Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen:",Hanss Philip Fuchss von Bimbach,,Hanss Philip Fuchss von Bimbach,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,working,,,,,,
R0224,Antwerp_1645,LATIN,Bound With,"ISIDORVM ET HYPSICLEM, PROCLI PROPOSITIONES GEO-METRICAS","HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",,"HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",other value,,,,,
R0009,Alcala_1637,"DUTCH, LATIN",Enriched With,comentado,,,comentado,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Enriched With` when it is present?,span_boundary_definition,orig,,,,,,
R0098,Amsterdam_1660,DUTCH,Explicit Language References,Neerduyts,,,Neerduyts,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Explicit Language References` when it is present?,recall_missing_value,v5,"it's a mistake, this string indeed does not appear in the sources",,,,,
R0118,Amsterdam_1662,DUTCH,Intended Audience,Aencomelingen,,,Aencomelingen,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Intended Audience` when it is present?,span_boundary_definition,orig,,,,,,
R0153,Amsterdam_1695,DUTCH,Explicit Language References,nederduytse taal,,,nederduytse taal,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Explicit Language References` when it is present?,recall_missing_value,orig,,,,,,
R0154,Amsterdam_1695,DUTCH,Other Educational Authorities,Fr. Flussatis Candallæ,,,Fr. Flussatis Candallæ,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Other Educational Authorities` when it is present?,recall_missing_value,orig,,,,,,
