review_id,Page/Key,Language,Feature Name,Value_orig,Value_llm,Value_llm5,working_final_value,decision_tier,diagnostic_question,v6_focus_area,preferred_source,error_type,span_policy,human_final_value,human_status,v6_instruction_note,human_notes,Value_llm6,v6_target,v6_target_source,v6_exact_match,v6_missing,v6_source_revision,v6_revision_name
R0046,Amsterdam_1618,GERMAN,Institutions,Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg,Teütschen Schuln in Nurnberg,Teütschen Schuln,Teütschen Schuln,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,v1,,,,,,,Teütschen Schuln in Nurnberg,Teütschen Schuln in Nurnberg,v1,1,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6
R0057,Amsterdam_1626,DUTCH,Base Content Description,"Van nieus over-sien, ende verbetert","Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen., Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe","eenighe nut-ticheden, byghevoechde nutticheden","eenighe nut-ticheden, byghevoechde nutticheden",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6
R0060,Amsterdam_1626,DUTCH,Edition Statement,"Van nieus over-sien, ende verbetert: Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur.","Van nieus over-sien, ende verbetert, breeder verclaert","Van nieus over-sien, ende verbetert","Van nieus over-sien, ende verbetert, breeder verclaert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"Van nieus over-sien, ende verbetert",,,0,0,718a7718-22cf-424e-a7f1-84e9cf1071c6,v1
R0062,Amsterdam_1626,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste, de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert","Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, breeder verclaert ende vermeerdert","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt","Specien in Geometrische figueren, overgheset, verclaert, ende uytgheleyt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen, Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0064,Amsterdam_1626,DUTCH,Intended Audience,"tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste.",van alle leergierighe liefhebbers der selver vryer Conste.,alle leergierighe liefhebbers der selver vryer Conste,van alle leergierighe liefhebbers der selver vryer Conste.,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,van alle leergierighe liefhebbers der selver vryer Conste,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
R0067,Amsterdam_1626,DUTCH,Verbs,"Overgheset, verclaert, ende uytgheleyt,","Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert","over-sien, verbetert","Overgheset, verclaert, ende uytgheleyt, Van nieus over-sien, ende verbetert",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"over-sien, verbetert",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0070,Amsterdam_1634,"GERMAN, LATIN",Adapter Description,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg.,Arithmeticum,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,Arithmeticum,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0072,Amsterdam_1634,"GERMAN, LATIN",Base Content Description,Von den Anfängen vnd fundamenten der Geometriæ,"Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ. Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind: sammt den Speciebus in Geometrischen Figuren, alss machen, verändern,
zusammenfügen, abziehen, vielfältigen vnd theilen: Per Demonstra-tiones Lineales.","Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg","Per Demonstra-tiones Lineales, Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht, Durch Sebastianum Curtium, Arithmeticum &
G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici: Von den Anfängen vnd fundamenten der Geometriæ",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a07,v6
R0078,Amsterdam_1634,"GERMAN, LATIN",Enriched With,"mancherley auss diesen Büchern gezogene Nutzbarkeiten, Speciebus in Geometrischen Figuren, alss machen, verändern, zusammenfügen, abziehen, vielfältigen vnd theilen, Per Demonstra-tiones Lineales","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales","Speciebus in Geometrischen Figuren, Per Demonstra-tiones Lineales, Nutzbarkeiten",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Dabey dann mancherley auss diesen Büchern gezogene Nutzbarkeiten angefüget seind, Per Demonstra-tiones Lineales",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0081,Amsterdam_1634,"GERMAN, LATIN",Explicit Language References,"Niderländischen, verteutscht",Niderländischen,"Griechischen, Niderländischen","Griechischen, Niderländischen",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"Griechischen, Niderländischen",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a10,v6
R0088,Amsterdam_1660,DUTCH,Adapter Attribution,JACOB WILLEMSZ. VERROOTEN van Haerlem.,JACOB WILLEMSZ,JACOB WILLEMSZ. VERROOTEN,JACOB WILLEMSZ,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,JACOB WILLEMSZ,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a01,v6
R0092,Amsterdam_1660,DUTCH,Base Content,EUKLIDES SES EERSTE BOEKKEN,"EUKLIDES
SES EERSTE
BOEKKEN,",SES EERSTE BOEKKEN,SES EERSTE BOEKKEN,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"SES EERSTE BOEKKEN, Van de Beginselen der WISKONSTEN",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0099,Amsterdam_1660,DUTCH,Place in Imprint,AMSTELDAM,"t’AMSTELDAM,",t’AMSTELDAM,t’AMSTELDAM,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,,t’AMSTELDAM,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a11,v6
R0105,Amsterdam_1662,DUTCH,Base Content,De 15 Boecken der ELEMENTEN Van Euclidis.,De 15 Boecken der ELEMENTEN Van Euclidis,ELEMENTEN Van Euclidis,ELEMENTEN Van Euclidis,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,De 15 Boecken der ELEMENTEN Van Euclidis,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a05,v6
R0112,Amsterdam_1662,DUTCH,Edition Statement,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt, in dese Const gebruykelijck tot gerief der Aencomelingen.","En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",vergroot deor J. V. L,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaalt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"En nu vergroot deor J. V. L. met het sesthiende Boeck van Christophoro Clavio, trouwelijck uyt Latijn Vertaelt, ende met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt",,,0,0,718a7718-22cf-424e-a7f1-84e9cf1071c6,v1
R0114,Amsterdam_1662,DUTCH,Enriched With,"korte verk-laringen eeniger Propositien, met een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren verrijckt","Met korte verk-laringen eeniger Propositien, een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren","een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien","een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren, Met korte verk-laringen eeniger Propositien",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Met korte verk-laringen eeniger Propositien, een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0122,Amsterdam_1662,DUTCH,Verbs,"Overgeset, vergroot, verrijckt, Vertaelt","Overgeset, vergroot, verrijckt","Overgeset, Vertaelt, vergroot, verrijckt","Overgeset, vergroot, verrijckt",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"Overgeset, vergroot, verrijckt, Vertaelt",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0124,Amsterdam_1683,LATIN,Adapter Description,SOC. JESU Sacerdote & Matheseos Professore.,SOC. JESU Sacerdote & Matheseos Professore,"SOC, JESU Sacerdote, Matheseos Professore",SOC. JESU Sacerdote & Matheseos Professore,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,SOC. JESU Sacerdote & Matheseos Professore,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0141,Amsterdam_1695,DUTCH,Adapter Description,"Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz. tot Amsterdam.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz","VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"VOOGHT Geometra, Geswooren Landmeeter en Leermeester, in de Wiskonst, als Stuurmanskonst enz",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0167,Amsterdam_1697,FRENCH,Intended Audience,"un homme de Guerre, & à tous ceux qui se veulent perfectionner dans cette Science","à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.","un homme de Guerre, tous
ceux qui se veulent perfectionner dans cette
Science","à un homme de Guerre, & à tous
ceux qui se veulent perfectionner dans cette Science.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"un homme de Guerre, tous ceux qui se veulent perfectionner dans cette Science",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
R0176,Amsterdam_1700,FRENCH,Edition Statement,Reveuë & corrigée,"NOUVELLE EDITION, Reveuë & corrigée.","NOUVELLE EDITION, Reveuë & corrigée","NOUVELLE EDITION, Reveuë & corrigée",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"NOUVELLE EDITION, Reveuë & corrigée",,,0,0,718a7718-22cf-424e-a7f1-84e9cf1071c6,v1
R0198,Amsterdam_1700b,DUTCH,Intended Audience,tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste.,van alle leer-gierige Liefhebbers der selver vrye Konste,alle leer-gierige Liefhebbers der selver vrye Konste,van alle leer-gierige Liefhebbers der selver vrye Konste,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,alle leer-gierige Liefhebbers der selver vrye Konste,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
R0201,Amsterdam_1700b,DUTCH,Verbs,"Over-geset, verklaert, ende uyt-geleyt","Over-geset, verklaart, uyt-geleyt, verbeteret","Over-geset, uyt-geleyt, oversien, verbetert, vermeerdert","Over-geset, verklaart, uyt-geleyt, verbeteret",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",span_boundary_definition,,,,,,,,"oversien, verbetert",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a09,v6
R0206,Ansbach_1610,"GERMAN, LATIN",Date in Imprint,M. D C X.,"Im Jahr Christi, M. D C X.",M. D C X,"Im Jahr Christi, M. D C X.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,,M. D C X,,,0,0,71d1be08-4bb6-47d0-b31b-0c599353e775,v2
R0249,Antwerp_1654,LATIN,Date in Imprint,M. DC. LIV.,"ANNO
M. DC. LIV.",M. DC. LIV,"ANNO
M. DC. LIV.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,,M. DC. LIV,,,0,0,71d1be08-4bb6-47d0-b31b-0c599353e775,v2
R0250,Antwerp_1654,LATIN,Elements Designation,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ.,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,ELEMENTA,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0264,Antwerp_1672,LATIN,Date in Imprint,M. DC. LXXII.,"ANNO
M. DC. LXXII.",M. DC. LXXII,"ANNO
M. DC. LXXII.",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,,M. DC. LXXII,,,0,0,71d1be08-4bb6-47d0-b31b-0c599353e775,v2
R0281,Arnhem_1603,LATIN,Elements Designation,"prioribus sex
Elementorum libris",Elementorum libris,Elementorum,Elementorum libris,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,EVCLIDIS prioribus sex Elementorum libris,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0293,Arnhem_1605,LATIN,Elements Designation,"Septimo, Octavo & Nono Elementorum libris
comprehenſam",Elementorum libris,"Septimo, Octavo & Nono Elementorum libris",Elementorum libris,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,"Septimo, Octavo & Nono Elementorum libris",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a06,v6
R0297,Arnhem_1605,LATIN,Publisher in Imprint,IOHANNEM IAN-SONIVM,Apud IOHANNEM IANSONIVM.,IOHANNEM IANSONIVM,IOHANNEM IANSONIVM,D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",imprint_scope_or_span,,,,,,,,IOHANNEM IANSONIVM,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a12,v6
R0324,Augsburg_1555,GERMAN,Euclid Description,hochberümbten Mathematici,hochberümbten Mathematici Euclidis Megarensis,"hochberümbten Mathematici, Megarensis","hochberümbten Mathematici, Megarensis",D_prompt_policy_choice,"v1 and v5 disagree. Which behavior should v6 learn for this feature: shorter/minimal span, fuller phrase, split list values, or keep empty?",prompt_choice_policy,,,,,,,,hochberümbten Mathematici Euclidis Megarensis,,,0,0,f8f833bf-6d05-46d6-8468-e2f6fe52f105,v2
R0013,Alcala_1637,"DUTCH, LATIN",Patronage Dedication,AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG &.,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,,D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,,AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO MAYOR DE SV MAG,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a17,v6
R0026,Amsterdam_1616,DUTCH,Enriched With,"eenighe nut-ticheden, de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, verclaert, ende uytgeleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe, liefhebbers der selver vryer Conste, de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert","Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,,"Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, ’tsamen-voughen, af-trecken, vermenichvuldighen, ende deelen, Mitsgaders de bygevouchde nutticheden mette spetien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0034,Amsterdam_1618,GERMAN,Adapter Description,Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teütschen Schuln in Nurnberg.,,Dou,Dou,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,,Dou,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a03,v6
R0127,Amsterdam_1683,LATIN,Bound With,selecta EX ARCHIMEDE THEOREMATA,EX ARCHIMEDE THEOREMATA,,EX ARCHIMEDE THEOREMATA,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,,selecta EX ARCHIMEDE THEOREMATA,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a18,v6
R0145,Amsterdam_1695,DUTCH,Bound With,16 Boek Fr. Flussatis Candallæ,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",,"15
Boeken, 16 Boek Fr. Flussatis Candallæ",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,,16 Boek Fr. Flussatis Candallæ,,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a18,v6
R0195,Amsterdam_1700b,DUTCH,Enriched With,"eenige nuttigheden, de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, ver-meenighvuldigen, ende deelen, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste, de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert","Specien in Geometrische figuren, nuttigheden",,"Specien in Geometrische figuren, nuttigheden",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,,"by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken, de by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert",,,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0212,Ansbach_1610,"GERMAN, LATIN",Institutions,Fürstlichen Brandenb,,Mathematicum,Mathematicum,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,,,,,,,,,,,0,1,7d8fdc01-b3ec-43de-a654-4cba5ffb6a14,v6
R0213,Ansbach_1610,"GERMAN, LATIN",Intended Audience,"Alles zu sondern Nutzden jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben:","Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",,"Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,,,,,,,,,,,0,1,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
R0214,Ansbach_1610,"GERMAN, LATIN",Patronage Dedication,"Auss Befehl Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen:",Hanss Philip Fuchss von Bimbach,,Hanss Philip Fuchss von Bimbach,E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",span_boundary_definition,working,,,,,,,"Dess Edlen vnd Gestrengen Herrn, Hanss Philip Fuchss von Bimbach",Hanss Philip Fuchss von Bimbach,working,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a17,v6
R0224,Antwerp_1645,LATIN,Bound With,"ISIDORVM ET HYPSICLEM, PROCLI PROPOSITIONES GEO-METRICAS","HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",,"HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",E_single_llm_over_manual,"Only one LLM produced a conflicting value. Is this a useful rescue, or should v6 be more conservative and keep/return empty?",prompt_choice_policy,"ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",other value,,,,,,"HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS","ISIDORVM, HYPSICLEM, Recentiores de Corporibus Regularibus, PROCLI PROPOSITIONES GEO-METRICAS",custom_preferred_source,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a18,v6
R0009,Alcala_1637,"DUTCH, LATIN",Enriched With,comentado,,,comentado,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Enriched With` when it is present?,span_boundary_definition,orig,,,,,,,comentado por LVIS CARDVCHI,comentado,orig,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a08,v6
R0098,Amsterdam_1660,DUTCH,Explicit Language References,Neerduyts,,,Neerduyts,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Explicit Language References` when it is present?,recall_missing_value,v5,"it's a mistake, this string indeed does not appear in the sources",,,,,,Neerduyts,,v5,0,0,7d8fdc01-b3ec-43de-a654-4cba5ffb6a10,v6
R0118,Amsterdam_1662,DUTCH,Intended Audience,Aencomelingen,,,Aencomelingen,B_keep_manual_no_llm,Both LLMs missed this manual value. What instruction would help v6 find `Intended Audience` when it is present?,span_boundary_definition,orig,,,,,,,,Aencomelingen,orig,0,1,7d8fdc01-b3ec-43de-a654-4cba5ffb6a15,v6
